# VELOCITY:     SINGLE_BLOCK_AVE_POFV:       PROGRESSIVE_AVE_POFV:        ERROR:
        0.08           0           0           0
        0.24           0           0           0
         0.4           0           0           0
        0.56           0           0           0
        0.72           0           0           0
        0.88           0           0           0
        1.04           0           0           0
         1.2           0           0           0
        1.36           0           0           0
        1.52           0           0           0
        1.68           0           0           0
        1.84           0           0           0
           2        1.54        1.54           0
        2.16        6.76        6.76           0
        2.32       34.58       34.58           0
        2.48       22.97       22.97           0
        2.64       33.18       33.18           0
         2.8        7.84        7.84           0
        2.96        1.13        1.13           0
        3.12           0           0           0
        3.28           0           0           0
        3.44           0           0           0
         3.6           0           0           0
        3.76           0           0           0
        3.92           0           0           0
        4.08           0           0           0
        4.24           0           0           0
         4.4           0           0           0
        4.56           0           0           0
        4.72           0           0           0
        4.88           0           0           0
        5.04           0           0           0
         5.2           0           0           0
        5.36           0           0           0
        5.52           0           0           0
        5.68           0           0           0
        5.84           0           0           0
           6           0           0           0
        6.16           0           0           0
        6.32           0           0           0
        6.48           0           0           0
        6.64           0           0           0
         6.8           0           0           0
        6.96           0           0           0
        7.12           0           0           0
        7.28           0           0           0
        7.44           0           0           0
         7.6           0           0           0
        7.76           0           0           0
        7.92           0           0           0
        0.08           0           0           0
        0.24        0.04        0.02   0.0141421
         0.4        0.06        0.03   0.0212132
        0.56        0.18        0.09   0.0636396
        0.72        0.18        0.09   0.0636396
        0.88        0.17       0.085   0.0601041
        1.04        0.19       0.095   0.0671751
         1.2        0.29       0.145     0.10253
        1.36        0.67       0.335    0.236881
        1.52        1.02        0.51    0.360624
        1.68        3.21       1.605     1.13491
        1.84        8.31       4.155     2.93803
           2         9.7        5.62       2.885
        2.16        9.76        8.26     1.06066
        2.32       15.16       24.87     6.86601
        2.48       17.59       20.28     1.90212
        2.64       16.24       24.71     5.98919
         2.8       14.31      11.075     2.28749
        2.96        7.82       4.475     2.36527
        3.12        2.91       1.455     1.02884
        3.28        0.19       0.095   0.0671751
        3.44           0           0           0
         3.6           0           0           0
        3.76           0           0           0
        3.92           0           0           0
        4.08           0           0           0
        4.24           0           0           0
         4.4           0           0           0
        4.56           0           0           0
        4.72           0           0           0
        4.88           0           0           0
        5.04           0           0           0
         5.2           0           0           0
        5.36           0           0           0
        5.52           0           0           0
        5.68           0           0           0
        5.84           0           0           0
           6           0           0           0
        6.16           0           0           0
        6.32           0           0           0
        6.48           0           0           0
        6.64           0           0           0
         6.8           0           0           0
        6.96           0           0           0
        7.12           0           0           0
        7.28           0           0           0
        7.44           0           0           0
         7.6           0           0           0
        7.76           0           0           0
        7.92           0           0           0
        0.08           0           0           0
        0.24        0.03   0.0233333  0.00981307
         0.4        0.64    0.233333    0.166622
        0.56         0.5    0.226667    0.119381
        0.72        0.53    0.236667    0.127046
        0.88        0.43         0.2    0.102089
        1.04        0.31    0.166667    0.073686
         1.2        0.37        0.22   0.0917727
        1.36        1.64        0.77    0.388702
        1.52        3.84        1.62    0.937657
        1.68        5.04        2.75     1.20269
        1.84        4.54     4.28333     1.96149
           2        8.99     6.74333     2.13083
        2.16        6.93     7.81667    0.794374
        2.32        8.28       19.34     6.42956
        2.48       13.47       18.01     2.24573
        2.64       12.88     20.7667     5.12923
         2.8        9.46     10.5367     1.58708
        2.96        9.82     6.25667     2.14538
        3.12       11.24     4.71667     2.75005
        3.28        7.22        2.47      1.9397
        3.44        1.29        0.43    0.351094
         3.6         0.1   0.0333333   0.0272166
        3.76        0.08   0.0266667   0.0217732
        3.92        0.13   0.0433333   0.0353815
        4.08        0.24        0.08   0.0653197
        4.24           0           0           0
         4.4           0           0           0
        4.56           0           0           0
        4.72           0           0           0
        4.88           0           0           0
        5.04           0           0           0
         5.2           0           0           0
        5.36           0           0           0
        5.52           0           0           0
        5.68           0           0           0
        5.84           0           0           0
           6           0           0           0
        6.16           0           0           0
        6.32           0           0           0
        6.48           0           0           0
        6.64           0           0           0
         6.8           0           0           0
        6.96           0           0           0
        7.12           0           0           0
        7.28           0           0           0
        7.44           0           0           0
         7.6           0           0           0
        7.76           0           0           0
        7.92           0           0           0
        0.08           0           0           0
        0.24           0      0.0175  0.00892679
         0.4         0.4       0.275    0.130072
        0.56        0.48        0.29       0.105
        0.72        0.19       0.225   0.0958188
        0.88        1.41      0.5025    0.272933
        1.04        1.58        0.52    0.310946
         1.2        3.15      0.9525    0.638087
        1.36        4.67       1.745    0.893284
        1.52        4.09      2.2375    0.883476
        1.68        4.52      3.1925    0.980047
        1.84       10.01       5.715     1.92391
           2        7.54      6.9425     1.60741
        2.16        7.39        7.71    0.602899
        2.32        7.03     16.2625     5.50968
        2.48       10.09       16.03     2.40357
        2.64        6.89     17.2975      4.8811
         2.8        5.78      9.3475     1.57398
        2.96        5.95        6.18     1.61041
        3.12        9.57        5.93     2.31478
        3.28        7.98      3.8475     1.88135
        3.44        4.08      1.3425    0.832964
         3.6        1.38        0.37    0.292276
        3.76        1.11      0.2975    0.235116
        3.92        1.22      0.3375    0.256134
        4.08         0.4        0.16   0.0848528
        4.24        0.55      0.1375    0.119078
         4.4        0.16        0.04    0.034641
        4.56        0.38       0.095   0.0822724
        4.72           0           0           0
        4.88           0           0           0
        5.04           0           0           0
         5.2           0           0           0
        5.36           0           0           0
        5.52           0           0           0
        5.68           0           0           0
        5.84           0           0           0
           6           0           0           0
        6.16           0           0           0
        6.32           0           0           0
        6.48           0           0           0
        6.64           0           0           0
         6.8           0           0           0
        6.96           0           0           0
        7.12           0           0           0
        7.28           0           0           0
        7.44           0           0           0
         7.6           0           0           0
        7.76           0           0           0
        7.92           0           0           0
        0.08        0.05        0.01  0.00894427
        0.24        0.07       0.028   0.0117983
         0.4        0.43       0.306    0.107688
        0.56        0.66       0.364    0.106943
        0.72        0.94       0.368    0.149115
        0.88        2.06       0.814    0.353979
        1.04        2.48       0.912    0.429897
         1.2        3.38       1.438    0.670184
        1.36        5.97        2.59     1.04015
        1.52        3.82       2.554    0.761365
        1.68        9.31       4.416     1.34621
        1.84       10.26       6.624     1.74067
           2        6.88        6.93     1.28597
        2.16        6.97       7.562    0.500155
        2.32        6.58      14.326     4.73585
        2.48        6.05      14.034     2.62385
        2.64        5.13      14.864     4.47053
         2.8        7.47       8.972     1.30321
        2.96        3.53        5.65     1.37277
        3.12        7.21       6.186     1.86592
        3.28        5.92       4.262     1.55007
        3.44        3.68        1.81    0.786699
         3.6        1.31       0.558    0.288006
        3.76        2.13       0.664    0.377938
        3.92           2        0.67    0.361154
        4.08        1.82       0.492     0.30461
        4.24        0.77       0.264    0.147908
         4.4        0.58       0.148    0.100495
        4.56        0.25       0.126   0.0714199
        4.72        0.08       0.016   0.0143108
        4.88        0.12       0.024   0.0214663
        5.04        0.09       0.018   0.0160997
         5.2           0           0           0
        5.36           0           0           0
        5.52           0           0           0
        5.68           0           0           0
        5.84           0           0           0
           6           0           0           0
        6.16           0           0           0
        6.32           0           0           0
        6.48           0           0           0
        6.64           0           0           0
         6.8           0           0           0
        6.96           0           0           0
        7.12           0           0           0
        7.28           0           0           0
        7.44           0           0           0
